id,name,types,height,weight,abilities,egg_groups,genus,description
1,Bulbasaur,"[poison, grass]",7.00,69.00,"[chlorophyll, overgrow]","[plant, monster]",Seed Pokemon,"Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun's rays,
the seed grows progressively larger."
2,Ivysaur,"[poison, grass]",10.00,130.00,"[chlorophyll, overgrow]","[plant, monster]",Seed Pokemon,"There is a bud on this Pokemon's back. To support its weight,
Ivysaur's legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
it's a sign that the bud will bloom into a large flower soon."
3,Venusaur,"[poison, grass]",20.00,1000.00,"[chlorophyll, overgrow]","[plant, monster]",Seed Pokemon,"There is a large flower on Venusaur's back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flower's aroma soothes the emotions of people."
4,Charmander,[fire],6.00,85.00,"[solar-power, blaze]","[dragon, monster]",Lizard Pokemon,"The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the Pokemon becomes enraged,
the flame burns fiercely."
5,Charmeleon,[fire],11.00,190.00,"[solar-power, blaze]","[dragon, monster]",Flame Pokemon,"Charmeleon mercilessly destroys its foes using its sharp
claws. If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with
a bluish white color."
6,Charizard,"[flying, fire]",17.00,905.00,"[solar-power, blaze]","[dragon, monster]",Flame Pokemon,"Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself."
7,Squirtle,[water],5.00,90.00,"[rain-dish, torrent]","[water1, monster]",Tiny Turtle Pokemon,"Squirtle's shell is not merely used for protection.
The shell's rounded shape and the grooves on its
surface help minimize resistance in water,
enabling this Pokemon to swim at high speeds."
8,Wartortle,[water],10.00,225.00,"[rain-dish, torrent]","[water1, monster]",Turtle Pokemon,"Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this Pokemon's
toughness as a battler."
9,Blastoise,[water],16.00,855.00,"[rain-dish, torrent]","[water1, monster]",Shellfish Pokemon,"Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate.
They can shoot bullets of water with enough accuracy
to strike empty cans from a distance of over 160 feet."
10,Caterpie,[bug],3.00,29.00,"[run-away, shield-dust]",[bug],Worm Pokemon,"It's easy to catch, and it grows quickly, making
it one of the top recommendations for novice
Pokemon Trainers."
11,Metapod,[bug],7.00,99.00,[shed-skin],[bug],Cocoon Pokemon,"Its shell is hard, but it's still just a bug shell.
It's been known to break, so intense battles
with it should be avoided."
12,Butterfree,"[flying, bug]",11.00,320.00,"[tinted-lens, compound-eyes]",[bug],Butterfly Pokemon,"When attacked by other Pokemon, it defends
itself by scattering its poisonous scales and
fluttering its wings."
13,Weedle,"[poison, bug]",3.00,32.00,"[run-away, shield-dust]",[bug],Hairy Bug Pokemon,"Weedle has an extremely acute sense of smell. It is capable
of distinguishing its favorite kinds of leaves from those it
dislikes just by sniffing with its big red proboscis (nose)."
14,Kakuna,"[poison, bug]",6.00,100.00,[shed-skin],[bug],Cocoon Pokemon,"Kakuna remains virtually immobile as it clings to a tree.
However, on the inside, it is extremely busy as it prepares
for its coming evolution.
This is evident from how hot the shell becomes to the touch."
15,Beedrill,"[poison, bug]",10.00,295.00,"[sniper, swarm]",[bug],Poison Bee Pokemon,"Beedrill is extremely territorial. No one should ever approach
its nestâ€this is for their own safety. If angered, they will attack
in a furious swarm."
16,Pidgey,"[flying, normal]",3.00,18.00,"[big-pecks, tangled-feet, keen-eye]",[flying],Tiny Bird Pokemon,"Pidgey has an extremely sharp sense of direction.
It is capable of unerringly returning home to its nest,
however far it may be removed from its familiar surroundings."
