id,name,height,weight,genus,description,types,abilities
1,Bulbasaur,7.00,69.00,Seed Pokemon,"Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun's rays,
the seed grows progressively larger.","[poison, grass]","[chlorophyll, overgrow]"
2,Ivysaur,10.00,130.00,Seed Pokemon,"There is a bud on this Pokemon's back. To support its weight,
Ivysaur's legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
it's a sign that the bud will bloom into a large flower soon.","[poison, grass]","[chlorophyll, overgrow]"
3,Venusaur,20.00,1000.00,Seed Pokemon,"There is a large flower on Venusaur's back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flower's aroma soothes the emotions of people.","[poison, grass]","[chlorophyll, overgrow]"
4,Charmander,6.00,85.00,Lizard Pokemon,"The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the Pokemon becomes enraged,
the flame burns fiercely.",[fire],"[solar-power, blaze]"
5,Charmeleon,11.00,190.00,Flame Pokemon,"Charmeleon mercilessly destroys its foes using its sharp
claws. If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with
a bluish white color.",[fire],"[solar-power, blaze]"
6,Charizard,17.00,905.00,Flame Pokemon,"Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself.","[flying, fire]","[solar-power, blaze]"
7,Squirtle,5.00,90.00,Tiny Turtle Pokemon,"Squirtle's shell is not merely used for protection.
The shell's rounded shape and the grooves on its
surface help minimize resistance in water,
enabling this Pokemon to swim at high speeds.",[water],"[rain-dish, torrent]"
8,Wartortle,10.00,225.00,Turtle Pokemon,"Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this Pokemon's
toughness as a battler.",[water],"[rain-dish, torrent]"
9,Blastoise,16.00,855.00,Shellfish Pokemon,"Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate.
They can shoot bullets of water with enough accuracy
to strike empty cans from a distance of over 160 feet.",[water],"[rain-dish, torrent]"
10,Caterpie,3.00,29.00,Worm Pokemon,"It's easy to catch, and it grows quickly, making
it one of the top recommendations for novice
Pokemon Trainers.",[bug],"[run-away, shield-dust]"
11,Metapod,7.00,99.00,Cocoon Pokemon,"Its shell is hard, but it's still just a bug shell.
It's been known to break, so intense battles
with it should be avoided.",[bug],[shed-skin]
12,Butterfree,11.00,320.00,Butterfly Pokemon,"When attacked by other Pokemon, it defends
itself by scattering its poisonous scales and
fluttering its wings.","[flying, bug]","[tinted-lens, compound-eyes]"
13,Weedle,3.00,32.00,Hairy Bug Pokemon,"Weedle has an extremely acute sense of smell. It is capable
of distinguishing its favorite kinds of leaves from those it
dislikes just by sniffing with its big red proboscis (nose).","[poison, bug]","[run-away, shield-dust]"
14,Kakuna,6.00,100.00,Cocoon Pokemon,"Kakuna remains virtually immobile as it clings to a tree.
However, on the inside, it is extremely busy as it prepares
for its coming evolution.
This is evident from how hot the shell becomes to the touch.","[poison, bug]",[shed-skin]
15,Beedrill,10.00,295.00,Poison Bee Pokemon,"Beedrill is extremely territorial. No one should ever approach
its nestâ€this is for their own safety. If angered, they will attack
in a furious swarm.","[poison, bug]","[sniper, swarm]"
