id,name,height,weight,genus,description
1,Bulbasaur,7.00,69.00,Seed Pokemon,"Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sunâ€™s rays,
the seed grows progressively larger."
2,Ivysaur,10.00,130.00,Seed Pokemon,"There is a bud on this Pokemonâ€™s back. To support its weight,
Ivysaurâ€™s legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
itâ€™s a sign that the bud will bloom into a large flower soon."
3,Venusaur,20.00,1000.00,Seed Pokemon,"There is a large flower on Venusaurâ€™s back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flowerâ€™s aroma soothes the emotions of people."
4,Charmander,6.00,85.00,Lizard Pokemon,"The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the Pokemon becomes enraged,
the flame burns fiercely."
5,Charmeleon,11.00,190.00,Flame Pokemon,"Charmeleon mercilessly destroys its foes using its sharp
claws. If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with
a bluish white color."
6,Charizard,17.00,905.00,Flame Pokemon,"Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself."
7,Squirtle,5.00,90.00,Tiny Turtle Pokemon,"Squirtleâ€™s shell is not merely used for protection.
The shellâ€™s rounded shape and the grooves on its
surface help minimize resistance in water,
enabling this Pokemon to swim at high speeds."
8,Wartortle,10.00,225.00,Turtle Pokemon,"Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this Pokemonâ€™s
toughness as a battler."
9,Blastoise,16.00,855.00,Shellfish Pokemon,"Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate.
They can shoot bullets of water with enough accuracy
to strike empty cans from a distance of over 160 feet."
10,Caterpie,3.00,29.00,Worm Pokemon,"Itâ€™s easy to catch, and it grows quickly, making
it one of the top recommendations for novice
Pokemon Trainers."
11,Metapod,7.00,99.00,Cocoon Pokemon,"Its shell is hard, but itâ€™s still just a bug shell.
Itâ€™s been known to break, so intense battles
with it should be avoided."
12,Butterfree,11.00,320.00,Butterfly Pokemon,"When attacked by other Pokemon, it defends
itself by scattering its poisonous scales and
fluttering its wings."
13,Weedle,3.00,32.00,Hairy Bug Pokemon,"Weedle has an extremely acute sense of smell. It is capable
of distinguishing its favorite kinds of leaves from those it
dislikes just by sniffing with its big red proboscis (nose)."
14,Kakuna,6.00,100.00,Cocoon Pokemon,"Kakuna remains virtually immobile as it clings to a tree.
However, on the inside, it is extremely busy as it prepares
for its coming evolution.
This is evident from how hot the shell becomes to the touch."
15,Beedrill,10.00,295.00,Poison Bee Pokemon,"Beedrill is extremely territorial. No one should ever approach
its nestâ€”this is for their own safety. If angered, they will attack
in a furious swarm."
16,Pidgey,3.00,18.00,Tiny Bird Pokemon,"Pidgey has an extremely sharp sense of direction.
It is capable of unerringly returning home to its nest,
however far it may be removed from its familiar surroundings."
17,Pidgeotto,11.00,300.00,Bird Pokemon,"Pidgeotto claims a large area as its own territory. This
Pokemon flies around, patrolling its living space. If its territory
is violated, it shows no mercy in thoroughly punishing the foe
with its sharp claws."
18,Pidgeot,15.00,395.00,Bird Pokemon,"This Pokemon has a dazzling plumage of beautifully
glossy feathers. Many Trainers are captivated by the
striking beauty of the feathers on its head, compelling
them to choose Pidgeot as their Pokemon."
19,Rattata,3.00,35.00,Mouse Pokemon,"With their strong capacity for survival, they can
live in dirty places without concern. Left
unchecked, their numbers multiply rapidly."
20,Raticate,7.00,185.00,Mouse Pokemon,"Its disposition is far more violent than its looks
would suggest. Donâ€™t let your hand get too close
to its face, as it could bite your hand clean off."
21,Spearow,3.00,20.00,Tiny Bird Pokemon,"Farmers whose fields are troubled by bug
Pokemon appreciate Spearow for its vigorous
appetite and look after it."
22,Fearow,12.00,380.00,Beak Pokemon,"Drawings of a Pokemon resembling Fearow can
be seen in murals from deep in ancient history."
23,Ekans,20.00,69.00,Snake Pokemon,"Ekans curls itself up in a spiral while it rests. Assuming this
position allows it to quickly respond to a threat from any
direction with a glare from its upraised head."
24,Arbok,35.00,650.00,Cobra Pokemon,"This Pokemon is terrifically strong in order to constrict things
with its body. It can even flatten steel oil drums. Once Arbok
wraps its body around its foe, escaping its crunching embrace
is impossible."
25,Pikachu,4.00,60.00,Mouse Pokemon,"Itâ€™s in its nature to store electricity. It feels
stressed now and then if itâ€™s unable to fully
discharge the electricity."
26,Raichu,8.00,300.00,Mouse Pokemon,"It becomes aggressive when it has electricity
stored up. At such times, even its Trainer has to
take care to avoid being attacked."
27,Sandshrew,6.00,120.00,Mouse Pokemon,"It usually makes its home in deserts and arid
zones, where rain does not fall. It digs holes to
catch Bug-type Pokemon."
28,Sandslash,10.00,295.00,Mouse Pokemon,"It uses its claws to climb trees and then curls
its body into a spiny ball, ready to drop onto
any prey that appears."
29,Nidoranâ™€,4.00,70.00,Poison Pin Pokemon,"Nidoranâ™€ has barbs that secrete a powerful poison.
They are thought to have developed as protection for
this small-bodied Pokemon. When enraged, it releases
a horrible toxin from its horn."
30,Nidorina,8.00,200.00,Poison Pin Pokemon,"When Nidorina are with their friends or family, they keep
their barbs tucked away to prevent hurting each other.
This Pokemon appears to become nervous if separated
from the others."
31,Nidoqueen,13.00,600.00,Drill Pokemon,"Nidoqueenâ€™s body is encased in extremely hard scales.
It is adept at sending foes flying with harsh tackles. This
Pokemon is at its strongest when it is defending its young."
32,Nidoranâ™‚,5.00,90.00,Poison Pin Pokemon,"Nidoranâ™‚ has developed muscles for moving its ears. Thanks
to them, the ears can be freely moved in any direction. Even
the slightest sound does not escape this Pokemonâ€™s notice."
33,Nidorino,9.00,195.00,Poison Pin Pokemon,"Nidorino has a horn that is harder than a diamond. If it senses
a hostile presence, all the barbs on its back bristle up at once,
and it challenges the foe with all its might."
34,Nidoking,14.00,620.00,Drill Pokemon,"Nidokingâ€™s thick tail packs enormously destructive power.
With one swing, it can topple a metal transmission tower. Once
this Pokemon goes on a rampage, there is no stopping it."
35,Clefairy,6.00,75.00,Fairy Pokemon,"On nights with a full moon, they gather together
and dance. The surrounding area is enveloped
in an abnormal magnetic field."
36,Clefable,13.00,400.00,Fairy Pokemon,"According to tradition, people who see a pair
of Clefable skipping by can look forward to a
happy marriage."
37,Vulpix,6.00,99.00,Fox Pokemon,"From its mouth spew flames that seem to
resemble the spirits of the deceased. Some
people mistakenly think this fire is a ghost."
38,Ninetales,11.00,199.00,Fox Pokemon,"Said to live for a thousand years, this Pokemon
uses its supernatural abilities to manipulate fire.
It can burn its prey to a crisp as it pleases."
39,Jigglypuff,5.00,55.00,Balloon Pokemon,"Jigglypuff possess a vocal range that exceeds
12 octaves, but each individualâ€™s singing skill
depends on its own effort."
40,Wigglytuff,10.00,120.00,Balloon Pokemon,"As it inhales, it expands...and expands...and
expands. Wigglytuff compete to see which one
can inflate itself the most."
41,Zubat,8.00,75.00,Bat Pokemon,"When exposed to sunlight, they suffer burns.
The frequency of their ultrasonic waves can
differ slightly from colony to colony."
42,Golbat,16.00,550.00,Bat Pokemon,"Sometimes they drink so much blood, they canâ€™t
fly anymore. Then they fall to the ground and
become food for other Pokemon."
43,Oddish,5.00,54.00,Weed Pokemon,"Oddish searches for fertile, nutrient-rich soil, then plants itself.
During the daytime, while it is planted, this Pokemonâ€™s feet
are thought to change shape and become similar to the roots
of trees."
44,Gloom,8.00,86.00,Weed Pokemon,"From its mouth Gloom drips honey that smells absolutely
horrible. Apparently, it loves the horrid stench. It sniffs the
noxious fumes and then drools even more of its honey."
45,Vileplume,12.00,186.00,Flower Pokemon,"Vileplume has the worldâ€™s largest petals. They are used to
attract prey that are then doused with toxic spores. Once the
prey are immobilized, this Pokemon catches and devours them."
46,Paras,3.00,54.00,Mushroom Pokemon,"Mushrooms called tochukaso sprout from its
back. They can be dried and powdered to make
a medicine used to extend life."
47,Parasect,10.00,295.00,Mushroom Pokemon,"It scatters toxic spores from its mushroom cap.
Once harvested, these spores can be steeped
and boiled down to prepare herbal medicines."
48,Venonat,10.00,300.00,Insect Pokemon,"Venonat is said to have evolved with a coat of thin, stiff hair
that covers its entire body for protection. It possesses large
eyes that never fail to spot even minuscule prey."
49,Venomoth,15.00,125.00,Poison Moth Pokemon,"Venomoth is nocturnalâ€”it is a Pokemon that only becomes
active at night. Its favorite prey are small insects that gather
around streetlights, attracted by the light in the darkness."
50,Diglett,2.00,8.00,Mole Pokemon,"Many farmers cherish and nurture Diglett
because its droppings enrich the soil it lives in."
51,Dugtrio,7.00,333.00,Mole Pokemon,"Despite the closeness between this Pokemon
and farmers and other people, no one has ever
seen the parts of it concealed underground."
52,Meowth,4.00,42.00,Scratch Cat Pokemon,"It loves shiny things. It often fights with
Murkrow over prey theyâ€™re both trying to catch."
53,Persian,10.00,320.00,Classy Cat Pokemon,"It has a high opinion of itself, although not to
the same extent as the Alolan Persian. Itâ€™s quite
difficult to make friends with this Pokemon."
54,Psyduck,8.00,196.00,Duck Pokemon,"This Pokemon is troubled by constant
headaches. The more pain itâ€™s in, the more
powerful its psychokinesis becomes."
55,Golduck,17.00,766.00,Duck Pokemon,"It swims along the banks of lakes and catches
fish Pokemon. It takes them to the shore and
quietly eats them up."
56,Mankey,5.00,280.00,Pig Monkey Pokemon,"Its raging tires it out and causes it to fall asleep,
but the anger resonating in its dreams causes it
to wake upâ€”which infuriates it all over again."
57,Primeape,10.00,320.00,Pig Monkey Pokemon,"Some researchers theorize that Primeape
remains angry even when inside a PokÃ© Ball."
58,Growlithe,7.00,190.00,Puppy Pokemon,"It looks cute, but when you approach another
Trainerâ€™s Growlithe, it will bark at you and bite."
59,Arcanine,19.00,1550.00,Legendary Pokemon,"The fire burning inside its body serves as the
energy to fuel it as it runs great distances.
It appears in many legends."
60,Poliwag,6.00,124.00,Tadpole Pokemon,"Itâ€™s still not very good at walking. Its Trainers
should train this Pokemon to walk every day."
61,Poliwhirl,10.00,200.00,Tadpole Pokemon,"It marches over the land in search of bug
Pokemon to eat. Then it takes them underwater
so it can dine on them where itâ€™s safe."
62,Poliwrath,13.00,540.00,Tadpole Pokemon,"Its percentage of body fat is nearly zero. Its
body is entirely muscle, which makes it heavy
and forces its swimming prowess to develop."
63,Abra,9.00,195.00,Psi Pokemon,"It can teleport itself to safety while itâ€™s asleep,
but when it wakes, it doesnâ€™t know where it is,
so it panics."
64,Kadabra,13.00,565.00,Psi Pokemon,"Kadabraâ€™s presence infests televisions and
monitors with creepy shadows that bring
bad luck."
65,Alakazam,15.00,480.00,Psi Pokemon,"Its brain cells continue to increase in number
until its death. The older the Alakazam, the
larger its head."
66,Machop,8.00,195.00,Superpower Pokemon,"With its superhuman strength, itâ€™s able to throw
a hundred people all at the same time. Its
strength comes from lifting Graveler every day."
67,Machoke,15.00,705.00,Superpower Pokemon,"It willingly assists with hard labor because it
knows the work is good training for its muscles."
68,Machamp,16.00,1300.00,Superpower Pokemon,"It can lift heavy loads with the greatest of ease.
It can even heft dump trucks. But its clumsy
fingers prevent it from doing any precision work."
69,Bellsprout,7.00,40.00,Flower Pokemon,"Bellsproutâ€™s thin and flexible body lets it bend and sway
to avoid any attack, however strong it may be. From its mouth,
this Pokemon spits a corrosive fluid that melts even iron."
70,Weepinbell,10.00,64.00,Flycatcher Pokemon,"Weepinbell has a large hook on its rear end. At night, the
Pokemon hooks on to a tree branch and goes to sleep.
If it moves around in its sleep, it may wake up to find itself
on the ground."
71,Victreebel,17.00,155.00,Flycatcher Pokemon,"Victreebel has a long vine that extends from its head.
This vine is waved and flicked about as if it were an animal
to attract prey. When an unsuspecting prey draws near,
this Pokemon swallows it whole."
72,Tentacool,9.00,455.00,Jellyfish Pokemon,"It drifts in shallow seas, such as the areas near
beaches. If you get bitten or stabbed by its
toxic tentacles, rush to the hospital."
73,Tentacruel,16.00,550.00,Jellyfish Pokemon,"Although these Pokemon are rare, when a large
outbreak of them occurs, all fish Pokemon
disappear from the surrounding sea."
74,Geodude,4.00,200.00,Rock Pokemon,"There are plenty of them to be found along any
road. A scholar with too much free time once
counted a hundred of them along a single route."
75,Graveler,10.00,1050.00,Rock Pokemon,"This slow-footed Pokemon moves by curling up
and rolling instead of walking. With enough
momentum, its speed can exceed 60 mph."
76,Golem,14.00,3000.00,Megaton Pokemon,"Once a year, this Pokemon molts, and its shed
shell returns to the soil. This process creates
enriched soil, so farmers collect the shells."
77,Ponyta,10.00,300.00,Fire Horse Pokemon,"Ponyta is very weak at birth. It can barely stand up.
This Pokemon becomes stronger by stumbling and
falling to keep up with its parent."
78,Rapidash,17.00,950.00,Fire Horse Pokemon,"Rapidash usually can be seen casually cantering in the fields
and plains. However, when this Pokemon turns serious, its
fiery manes flare and blaze as it gallops its way up to 150 mph."
79,Slowpoke,12.00,360.00,Dopey Pokemon,"Alolan home cooking involves drying Slowpoke
tails and then simmering them into a salty stew."
80,Slowbro,16.00,785.00,Hermit Crab Pokemon,"Whenever Shellder bites down hard on its tail,
it gives Slowbro a flash of inspiration...which it
forgets a moment later."
81,Magnemite,3.00,60.00,Magnet Pokemon,"It sends out electromagnetic waves, which let it
float through the air. Touching it while itâ€™s eating
electricity will give you a full-body shock."
82,Magneton,10.00,600.00,Magnet Pokemon,"It has about three times the electrical power of
Magnemite. For some reason, outbreaks of this
Pokemon happen when lots of sunspots appear."
